timestamp,raw_hum,filtered_hum,turn_on_thres,turn_off_thres,peltier,cold_fan,ntc_temp,dew_point,cycle_extreme_hum,overshoot_on_learned,overshoot_off_learned,last_cycle_duration_ms,phase_reversed,sht30_temp,target_hum,reversal_delta,cold_fan_used_this_phase,state_elapsed_ms
18801,88.54,88.53,59.7,60.3,0,0,31.54,29.34,44.29,0.3,0.3,0,1,31.49,60.0,44.24,0,18501
19310,88.54,88.54,59.7,60.3,0,0,31.61,29.34,44.29,0.3,0.3,0,1,31.52,60.0,44.24,0,19001
19819,88.54,88.54,59.7,60.3,0,0,31.61,29.37,44.29,0.3,0.3,0,1,31.52,60.0,44.24,0,19501
20327,88.54,88.54,59.7,60.3,1,0,31.61,29.37,44.29,0.3,0.3,20001,0,31.52,60.0,44.24,0,0
20836,88.5,88.54,59.7,60.3,1,0,31.61,29.37,88.54,0.3,0.3,20001,0,31.49,60.0,0.0,0,500
21344,88.51,88.52,59.7,60.3,1,0,31.71,29.34,88.54,0.3,0.3,20001,0,31.51,60.0,0.01,0,1000
21853,88.51,88.52,59.7,60.3,1,0,31.61,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.02,0,1500
22361,88.51,88.51,59.7,60.3,1,0,31.61,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.02,0,2000
22870,88.49,88.51,59.7,60.3,1,0,31.64,29.35,88.54,0.3,0.3,20001,0,31.52,60.0,0.02,0,2500
23379,88.49,88.5,59.7,60.3,1,0,31.31,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.03,0,3000
23888,88.48,88.5,59.7,60.3,1,0,31.5,29.36,88.54,0.3,0.3,20001,0,31.51,60.0,0.03,0,3500
24396,88.48,88.49,59.7,60.3,1,0,31.5,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.04,0,4000
24905,88.47,88.48,59.7,60.3,1,0,31.29,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.05,0,4500
25416,88.47,88.48,59.7,60.3,1,0,31.29,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.05,0,5000
25925,88.47,88.48,59.7,60.3,1,0,31.29,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.06,0,5500
26434,88.48,88.47,59.7,60.3,1,0,31.19,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.06,0,6000
26943,88.48,88.48,59.7,60.3,1,0,31.19,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.05,0,6500
27452,88.48,88.48,59.7,60.3,1,0,31.01,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.05,0,7000
27965,88.48,88.48,59.7,60.3,1,0,31.01,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.05,0,7500
28474,88.48,88.48,59.7,60.3,1,0,30.87,29.36,88.54,0.3,0.3,20001,0,31.51,60.0,0.05,0,8000
28983,88.48,88.48,59.7,60.3,1,0,30.87,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.05,0,8500
29492,88.46,88.48,59.7,60.3,1,0,30.2,29.35,88.54,0.3,0.3,20001,0,31.49,60.0,0.05,0,9000
30001,88.44,88.47,59.7,60.3,1,0,30.57,29.33,88.54,0.3,0.3,20001,0,31.53,60.0,0.06,0,9500
30510,88.46,88.46,59.7,60.3,1,0,30.45,29.37,88.54,0.3,0.3,20001,0,31.52,60.0,0.07,0,10006
31019,88.46,88.46,59.7,60.3,1,0,30.45,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.07,0,11015
31528,88.46,88.46,59.7,60.3,1,0,30.29,29.36,88.54,0.3,0.3,20001,0,31.52,60.0,0.07,0,11515
32036,88.48,88.47,59.7,60.3,1,0,30.22,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.06,0,12015
32544,88.48,88.48,59.7,60.3,1,0,30.22,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.06,0,12515
33053,88.49,88.48,59.7,60.3,1,0,30.11,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.05,0,13015
33562,88.49,88.49,59.7,60.3,1,0,30.11,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.05,0,13515
34071,88.49,88.49,59.7,60.3,1,0,30.11,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.04,0,14015
34580,88.49,88.49,59.7,60.3,1,0,30.11,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.04,0,14515
35089,88.49,88.49,59.7,60.3,1,0,30.11,29.35,88.54,0.3,0.3,20001,0,31.51,60.0,0.04,0,15015
35598,88.43,88.46,59.7,60.3,1,0,29.58,29.37,88.54,0.3,0.3,20001,0,31.53,60.0,0.07,0,15515
36107,88.41,88.45,59.7,60.3,1,0,29.05,29.37,88.54,0.3,0.3,20001,0,31.52,60.0,0.08,0,16015
36616,88.41,88.43,59.7,60.3,1,0,29.05,29.35,88.54,0.3,0.3,20001,0,31.52,60.0,0.1,0,16515
37125,88.44,88.42,59.7,60.3,1,0,29.21,29.35,88.54,0.3,0.3,20001,0,31.55,60.0,0.11,0,17015
37634,88.44,88.43,59.7,60.3,1,0,29.21,29.38,88.54,0.3,0.3,20001,0,31.55,60.0,0.11,0,17515
38143,88.45,88.44,59.7,60.3,1,0,28.99,29.38,88.54,0.3,0.3,20001,0,31.55,60.0,0.09,0,18024
38652,88.45,88.44,59.7,60.3,1,0,28.99,29.38,88.54,0.3,0.3,20001,0,31.55,60.0,0.09,0,18524
39161,88.43,88.44,59.7,60.3,1,0,28.76,29.37,88.54,0.3,0.3,20001,0,31.53,60.0,0.09,0,19024
39670,88.43,88.44,59.7,60.3,1,0,28.76,29.37,88.54,0.3,0.3,20001,0,31.53,60.0,0.1,0,19524
40190,88.4,88.44,59.7,60.3,1,0,28.51,29.37,88.54,0.3,0.3,20001,0,31.55,60.0,0.1,0,20024
40699,88.4,88.42,59.7,60.3,1,0,28.51,29.37,88.54,0.3,0.3,20001,0,31.55,60.0,0.11,0,20524
41208,88.39,88.4,59.7,60.3,1,0,28.31,29.36,88.54,0.3,0.3,20001,0,31.53,60.0,0.13,0,21024
41717,88.38,88.39,59.7,60.3,1,0,28.13,29.35,88.54,0.3,0.3,20001,0,31.53,60.0,0.14,0,21524
42226,88.38,88.39,59.7,60.3,1,0,28.13,29.35,88.54,0.3,0.3,20001,1,31.53,60.0,0.15,0,22024
42735,88.38,88.38,59.7,60.3,1,0,28.13,29.35,88.54,0.3,0.3,20001,1,31.53,60.0,0.15,0,22524
43244,88.38,88.38,59.7,60.3,1,0,28.01,29.35,88.54,0.3,0.3,20001,1,31.53,60.0,0.15,0,23024
43752,88.38,88.38,59.7,60.3,1,0,28.01,29.35,88.54,0.3,0.3,20001,1,31.53,60.0,0.15,0,23524
44261,88.38,88.38,59.7,60.3,1,0,28.08,29.35,88.54,0.3,0.3,20001,1,31.53,60.0,0.15,0,24024
44770,88.38,88.38,59.7,60.3,1,0,28.08,29.35,88.54,0.3,0.3,20001,1,31.53,60.0,0.15,0,24527
45279,88.39,88.38,59.7,60.3,1,0,27.43,29.35,88.54,0.3,0.3,20001,1,31.55,60.0,0.15,0,25027
